name,value,year,lastValue,rank
Varios_Saldos,123100,9,145400,30
Reef,115747,9,127978,31
ZAXY,35770,9,104240,32
Falatino,99550,9,89607,33
Mc Jason,180231,9,84966,34
Havaianas,426101,9,56884,35
Rider,226516,9,52778,36
Bioconfort,16875,9,52602,37
FF,23920,9,35880,38
Euro Jack,74003,9,30294,39
Legitimo,39170,9,28130,40
Mormaii,68979,9,26809,41
Disponible,15700,9,24200,42
Aquarella,4080,9,21712,43
Via Uno,22890,9,17950,44
Tiernitas,13965,9,14763,45
Ador,1691,9,10653,46
Crocs,20929,9,10461,47
SANJERIY,10485,9,8189,48
Spiderman,51966,9,6371,49
Grendene,12399,9,5501,50
Ginga,14813,9,4944,51
Democrata,9540,9,4470,52
Hello Kitty,68654,9,4028,53
Hot Wheels,15490,9,3230,54
Annisa Group.,299,9,3100,55
Arye - Portter,399,9,1596,56
Blanditos,16800,9,1200,57
Chiquillos,0,9,1050,58
Grendha,66060,9,780,59
Angra,500,9,500,60
Leon,200,9,400,61
Euro Teens,100,9,300,62
Natalia K,600,9,300,63
MINI Miss Carol,898,9,299,64
PUSH,3352804,10,4283877,1
Topper,3568004,10,3663954,2
Miss Carol,4149988,10,3231552,3
Puma,3491120,10,3210278,4
Reebok,3147520,10,2935988,5
Camarao,3033947,10,2931474,6
Converse,2351615,10,2361819,7
A.Giannini,2366743,10,2146863,8
Lombardino,2609412,10,2100010,9
New Balance,1611447,10,1696801,10
Sumilon,1793529,10,1548635,11
Freeway ,1689659,10,1135314,12
Adidas,1385352,10,820820,13
Azaleia,1340542,10,732266,14
Lady Confort,660957,10,687587,15
Umbro,475317,10,618298,16
Olympikus                 ,744666,10,616468,17
Croco Kids,684953,10,606748,18
North Sails N+,532589,10,548591,19
Pigalle ,784510,10,531790,20
Havaianas,1270309,10,426101,21
Mistral,321890,10,310117,22
Branch,521690,10,303347,23
Gallarate,424230,10,276930,24
Wassington   ,218759,10,233825,25
Rider,1189203,10,226516,26
Vanzetti,116256,10,200703,27
Mc Jason,137617,10,180231,28
Cuerart                  ,203706,10,160313,29
Goshik,227340,10,140679,30
Bibi,276157,10,135632,31
Varios_Saldos,179511,10,123100,32
Reef,133276,10,115747,33
Bottero,66900,10,104638,34
Falatino,140755,10,99550,35
Euro Jack,382078,10,74003,36
Mormaii,257368,10,68979,37
Hello Kitty,218743,10,68654,38
Grendha,295350,10,66060,39
Spiderman,174183,10,51966,40
Legitimo,29310,10,39170,41
ZAXY,28220,10,35770,42
FF,50830,10,23920,43
Via Uno,3970,10,22890,44
Crocs,33488,10,20929,45
Bioconfort,11583,10,16875,46
Blanditos,32000,10,16800,47
Disponible,13000,10,15700,48
Hot Wheels,34000,10,15490,49
Ginga,32623,10,14813,50
Tiernitas,86185,10,13965,51
Grendene,13901,10,12399,52
SANJERIY,22368,10,10485,53
Aquarella,1393,10,4080,54
Ador,597,10,1691,55
Asics,1944,10,1247,56
MINI Miss Carol,750,10,898,57
Natalia K,1500,10,600,58
Angra,1000,10,500,59
Arye - Portter,1248,10,399,60
Kimika,299,10,300,61
Annisa Group.,598,10,299,62
Euro Teens,11000,10,100,63
Miss Carol,7682244,11,4149988,1
Topper,4426277,11,3568004,2
Puma,4552813,11,3491120,3
PUSH,4232039,11,3352804,4
Reebok,4578432,11,3147520,5
Camarao,4103607,11,3033947,6
Lombardino,3630699,11,2609412,7
A.Giannini,3805843,11,2366743,8
Converse,3579195,11,2351615,9
Sumilon,1922082,11,1793529,10
Freeway ,3310815,11,1689659,11
New Balance,2025463,11,1611447,12
Adidas,2290660,11,1385352,13
Azaleia,2189929,11,1340542,14
Havaianas,4166954,11,1270309,15
Rider,3405017,11,1189203,16
Pigalle ,1055906,11,784510,17
Olympikus                 ,960518,11,744666,18
Croco Kids,1276243,11,684953,19
Lady Confort,1242624,11,660957,20
North Sails N+,922509,11,532589,21
Branch,1218519,11,521690,22
Umbro,481100,11,475317,23
Gallarate,563310,11,424230,24
Euro Jack,1064682,11,382078,25
Mistral,492530,11,321890,26
Grendha,533403,11,295350,27
Bibi,338381,11,276157,28
Mormaii,889699,11,257368,29
Goshik,607620,11,227340,30
Wassington   ,419631,11,218759,31
Hello Kitty,472447,11,218743,32
Cuerart                  ,316757,11,203706,33
Varios_Saldos,192939,11,179511,34
Spiderman,208260,11,174183,35
Falatino,121880,11,140755,36
Mc Jason,118138,11,137617,37
Reef,197583,11,133276,38
Vanzetti,144526,11,116256,39
Tiernitas,152926,11,86185,40
Bottero,37950,11,66900,41
FF,35880,11,50830,42
Hot Wheels,26660,11,34000,43
Crocs,92825,11,33488,44
Ginga,89013,11,32623,45
Blanditos,70000,11,32000,46
Legitimo,36170,11,29310,47
ZAXY,60320,11,28220,48
SANJERIY,35649,11,22368,49
Grendene,10700,11,13901,50
Disponible,20350,11,13000,51
Bioconfort,7988,11,11583,52
Euro Teens,18300,11,11000,53
Via Uno,11230,11,3970,54
Asics,1495,11,1944,55
Natalia K,5400,11,1500,56
Aquarella,2289,11,1393,57
Arye - Portter,399,11,1248,58
Cartago,2180,11,870,59
MINI Miss Carol,2950,11,750,60
Annisa Group.,1794,11,598,61
Ador,-100,11,597,62
Kimika,299,11,299,63
Sonho De Crianca,400,11,100,64
Miss Carol,2973016,12,7682244,1
Reebok,2306701,12,4578432,2
Puma,2066714,12,4552813,3
Topper,2436369,12,4426277,4
PUSH,1896411,12,4232039,5
Havaianas,2645675,12,4166954,6
Camarao,1507191,12,4103607,7
A.Giannini,1646384,12,3805843,8
Lombardino,1735977,12,3630699,9
Converse,1442320,12,3579195,10
Rider,1876281,12,3405017,11
Freeway ,1719538,12,3310815,12
Adidas,864710,12,2290660,13
Azaleia,1281167,12,2189929,14
New Balance,879649,12,2025463,15
Sumilon,586398,12,1922082,16
Croco Kids,526128,12,1276243,17
Lady Confort,638235,12,1242624,18
Branch,619597,12,1218519,19
Euro Jack,684887,12,1064682,20
Pigalle ,442357,12,1055906,21
Olympikus                 ,425823,12,960518,22
North Sails N+,291532,12,922509,23
Mormaii,506876,12,889699,24
Goshik,184500,12,607620,25
Gallarate,344540,12,563310,26
Grendha,70212,12,533403,27
Mistral,153230,12,492530,28
Umbro,266266,12,481100,29
Hello Kitty,253336,12,472447,30
